moai_id,ahu,location_name,longitude,latitude,total_length_cm
90,AHU VINAPU,AHU VINAPU,-109.40668900,-27.17714200,
91,AHU VINAPU,AHU VINAPU ,-109.40644600,-27.17639200,
92,AHU VINAPU,AHU VINAPU ,-109.40677300,-27.17709400,
93,AHU VINAPU,AHU VINAPU ,-109.40647400,-27.17645700,
173,AHU VINAPU,AHU VINAPU,-109.40667800,-27.17697400,
174,AHU VINAPU,AHU VINAPU,-109.40671400,-27.17749000,203
175,AHU VINAPU,AHU VINAPU,-109.40689500,-27.17705200,
176,AHU VINAPU,AHU VINAPU,-109.40644300,-27.17646500,
177,AHU VINAPU,AHU VINAPU,-109.40643600,-27.17645000,398
178,AHU VINAPU,AHU VINAPU,-109.40643300,-27.17643800,
179,AHU VINAPU,AHU VINAPU,-109.40640700,-27.17639800,
180,AHU VINAPU,AHU VINAPU,-109.40639000,-27.17636000,
181,AHU VINAPU,AHU VINAPU,-109.40638000,-27.17634100,405
182,AHU VINAPU,AHU VINAPU,-109.40632800,-27.17639900,
183,AHU VINAPU,AHU VINAPU ,-109.40659400,-27.17712600,
184,AHU VINAPU,AHU VINAPU,-109.40674700,-27.17726200,425
185,AHU VINAPU,AHU VINAPU,-109.40675200,-27.17723100,450
186,AHU VINAPU,AHU VINAPU,-109.40675600,-27.17720400,438
187,AHU VINAPU,AHU VINAPU,-109.40674800,-27.17718100,417
188,AHU VINAPU,AHU VINAPU,-109.40677300,-27.17716100,
538,AKAHANGA,AKAHANGA,-109.34525600,-27.15418500,
539,AKAHANGA,AKAHANGA,-109.34532900,-27.15419200,
844,ANA O KEKE,ANA O KEKE,-109.24147700,-27.10438700,
845,ANA O KEKE,ANA O KEKE,-109.24131200,-27.10450800,199
846,ANA O KEKE,ANA O KEKE,-109.24137400,-27.10462100,215
847,ANA O KEKE,ANA O KEKE,-109.24128900,-27.10464900,
848,ANA O KEKE,ANA O KEKE,-109.24121700,-27.10475900,
849,ANA O KEKE,ANA O KEKE,-109.24119500,-27.10478000,
850,ANA O KEKE,ANA O KEKE,-109.24101300,-27.10458500,
851,ANA O KEKE,ANA O KEKE,-109.24107800,-27.10446800,
276,AVA ANAKENA,AVA ANAKENA,-109.32326800,-27.07492400,
3,HANGA HAHAVE,HANGA HAHAVE,-109.39031400,-27.16710600,470
4,HANGA HAHAVE,HANGA HAHAVE,-109.39050500,-27.16712500,
98,HANGA HAHAVE,HANGA HAHAVE,-109.39037800,-27.16696400,
254,HANGA O TEO,HANGA O TEO,-109.37300800,-27.05651200,
170,HANGA PIKO,HANGA PIKO,-109.43902000,-27.15458400,
171,HANGA PIKO,HANGA PIKO,-109.43849400,-27.15507200,585
2,HANGA POUKURA,HANGA POUKURA,-109.37947800,-27.16709500,
12,HANGA POUKURA,HANGA POUKURA,-109.38053800,-27.16657000,
13,HANGA POUKURA,HANGA POUKURA,-109.38042000,-27.16673400,312
15,HANGA POUKURA,HANGA POUKURA,-109.37953400,-27.16712400,472
16,HANGA POUKURA,HANGA POUKURA,-109.37982100,-27.16726100,396
37,HANGA POUKURA,HANGA POUKURA,-109.37976700,-27.16724600,
38,HANGA POUKURA,HANGA POUKURA,-109.37976000,-27.16714400,
39,HANGA POUKURA,HANGA POUKURA,-109.37992500,-27.16708700,
94,HANGA POUKURA,HANGA POUKURA,-109.38046100,-27.16666500,
95,HANGA POUKURA,HANGA POUKURA,-109.37933900,-27.16695400,
925,HANGA POUKURA,HANGA POUKURA,-109.38501000,-27.15531700,
931,HANGA POUKURA,HANGA POUKURA,-109.38499200,-27.15531900,
363,HANGA PU NGAO,HANGA PU NGAO,-109.29573000,-27.13880400,
364,HANGA PU NGAO,HANGA PU NGAO,-109.29575000,-27.13876500,
372,HANGA PU NGAO,HANGA PU NGAO,-109.29586300,-27.13874200,
373,HANGA PU NGAO,HANGA PU NGAO,-109.29602100,-27.13871400,
379,HANGA PU NGAO,HANGA PU NGAO,-109.29560800,-27.13880600,
380,HANGA PU NGAO,HANGA PU NGAO,-109.29562200,-27.13880300,
381,HANGA PU NGAO,HANGA PU NGAO,-109.29561700,-27.13882300,
427,HANGA PU NGAO,HANGA PU NGAO,-109.29574500,-27.13844600,
428,HANGA PU NGAO,HANGA PU NGAO,-109.29577900,-27.13854000,
460,HANGA PU NGAO,HANGA PU NGAO,-109.29577300,-27.13882800,
521,HANGA PU NGAO,HANGA PU NGAO,-109.29566000,-27.13872400,
868,HANGA TAVAKA,HANGA TAVAKA,-109.24869900,-27.09469400,
953,HANGA TAVAKA,HANGA TAVAKA,-109.24867600,-27.09471700,
914,HANGA TE E,HANGA TE E,-109.36247600,-27.16506600,
915,HANGA TE E,HANGA TE E,-109.36229300,-27.16548200,
933,HANGA TE E,HANGA TE E,-109.36216300,-27.16596800,
940,HANGA TE E,HANGA TE E,-109.36213400,-27.16596600,
941,HANGA TE E,HANGA TE E,-109.36232600,-27.16587000,
942,HANGA TE E,HANGA TE E,-109.36227500,-27.16591400,
53,HANGA TE TENGA,HANGA TE TENGA,-109.31260800,-27.13769600,
339,HEKII,HEKII,-109.30063500,-27.08786500,241
355,HEKII,HEKII,-109.29978600,-27.08837900,
356,HEKII,HEKII,-109.30002700,-27.08827100,
374,HEKII,HEKII,-109.29970100,-27.08817200,
375,HEKII,HEKII,-109.29970200,-27.08837000,
376,HEKII,HEKII,-109.29964200,-27.08809600,
377,HEKII,HEKII,-109.29966500,-27.08811200,
378,HEKII,HEKII,-109.29964800,-27.08812400,
420,HEKII,HEKII,-109.30135900,-27.08800900,
645,HEKII,HEKII,-109.29975600,-27.08847800,
646,HEKII,HEKII,-109.29973200,-27.08851400,
647,HEKII,HEKII,-109.29981600,-27.08840300,
648,HEKII,HEKII,-109.29981200,-27.08834100,
649,HEKII,HEKII,-109.30012600,-27.08828500,
650,HEKII,HEKII,-109.30007400,-27.08788700,
665,HEKII,HEKII,-109.29969400,-27.08837800,382
666,HEKII,HEKII,-109.29967100,-27.08820300,
668,HEKII,HEKII,-109.29968800,-27.08854700,
669,HEKII,HEKII,-109.29971800,-27.08852000,
670,HEKII,HEKII,-109.29973900,-27.08848400,
671,HEKII,HEKII,-109.29981000,-27.08846700,
672,HEKII,HEKII,-109.29977000,-27.08843000,
673,HEKII,HEKII,-109.29980100,-27.08839500,
100,HOA ANGA VAKA O TUA PO,HOA ANGA VAKA O TUA PO,-109.33065300,-27.14406900,253
101,HOA ANGA VAKA O TUA PO,HOA ANGA VAKA O TUA PO,-109.33052500,-27.14400300,
102,HOA ANGA VAKA O TUA PO,HOA ANGA VAKA O TUA PO,-109.33046800,-27.14397700,248
103,HOA ANGA VAKA O TUA PO,HOA ANGA VAKA O TUA PO,-109.33054000,-27.14400400,
104,HOA ANGA VAKA O TUA PO,HOA ANGA VAKA O TUA PO,-109.33046000,-27.14397600,
332,KOEHOKO,KOE-HOKO,-109.30683100,-27.13785900,
395,MAHATUA,MAHATUA,-109.27177200,-27.09193900,
396,MAHATUA,MAHATUA,-109.27179700,-27.09191100,
610,MAHATUA,MAHATUA,-109.27164500,-27.09196200,
686,MAHATUA,MAHATUA,-109.27208100,-27.09194600,
687,MAHATUA,MAHATUA,-109.27188500,-27.09196600,
688,MAHATUA,MAHATUA,-109.27180200,-27.09195300,
689,MAHATUA,MAHATUA,-109.27179500,-27.09194000,
722,MAHATUA,MAHATUA,-109.27157100,-27.09189800,
723,MAHATUA,MAHATUA,-109.27158100,-27.09194100,
813,MAHATUA,MAHATUA,-109.27161000,-27.09194100,
559,MAHINA,MAHINA,-109.29411900,-27.09541200,568
560,MAHINA,MAHINA,-109.29416500,-27.09538300,534
242,MAITAKI TE MOA,MAITAKI TE MOA,-109.40386000,-27.08269100,
243,MAITAKI TE MOA,MAITAKI TE MOA,-109.40386300,-27.08270500,
244,MAITAKI TE MOA,MAITAKI TE MOA,-109.40382700,-27.08269400,
245,MAITAKI TE MOA,MAITAKI TE MOA,-109.40382900,-27.08270200,
443,MATA UURI,MATA UURI,-109.27835600,-27.13213900,216
444,MATA UURI,MATA UURI,-109.27836700,-27.13225400,274
726,MATA UURI,MATA UURI,-109.27830300,-27.13203400,
960,MATUKI,MATUKI,-109.37545100,-27.12846400,
351,MAUNGA VEVERA,MAUNGA VEVERA,-109.31151700,-27.10889200,267
